"bank_id","species","common_name"
5406,"Acantharchus pomotis","Mud Sunfish"
3914,"Acantharchus pomotis","Mud Sunfish"
3915,"Acantharchus pomotis","Mud Sunfish"
5957,"Acantharchus pomotis","Mud Sunfish"
3919,"Acantharchus pomotis","Mud Sunfish"
4535,"Acantharchus pomotis","Mud Sunfish"
3922,"Acantharchus pomotis","Mud Sunfish"
4515,"Acantharchus pomotis","Mud Sunfish"
5417,"Acantharchus pomotis","Mud Sunfish"
3928,"Acantharchus pomotis","Mud Sunfish"
3929,"Acantharchus pomotis","Mud Sunfish"
3931,"Acantharchus pomotis","Mud Sunfish"
3933,"Acantharchus pomotis","Mud Sunfish"
3934,"Acantharchus pomotis","Mud Sunfish"
6573,"Acantharchus pomotis","Mud Sunfish"
3939,"Acantharchus pomotis","Mud Sunfish"
3940,"Acantharchus pomotis","Mud Sunfish"
3944,"Acantharchus pomotis","Mud Sunfish"
3945,"Acantharchus pomotis","Mud Sunfish"
3946,"Acantharchus pomotis","Mud Sunfish"
5407,"Acantharchus pomotis","Mud Sunfish"
3955,"Acantharchus pomotis","Mud Sunfish"
3956,"Acantharchus pomotis","Mud Sunfish"
3969,"Acantharchus pomotis","Mud Sunfish"
5546,"Acantharchus pomotis","Mud Sunfish"
3971,"Acantharchus pomotis","Mud Sunfish"
3973,"Acantharchus pomotis","Mud Sunfish"
3977,"Acantharchus pomotis","Mud Sunfish"
3978,"Acantharchus pomotis","Mud Sunfish"
6049,"Acantharchus pomotis","Mud Sunfish"
5852,"Acantharchus pomotis","Mud Sunfish"
3985,"Acantharchus pomotis","Mud Sunfish"
3987,"Acantharchus pomotis","Mud Sunfish"
4556,"Acantharchus pomotis","Mud Sunfish"
5333,"Acantharchus pomotis","Mud Sunfish"
3988,"Acantharchus pomotis","Mud Sunfish"
5586,"Acantharchus pomotis","Mud Sunfish"
3992,"Acantharchus pomotis","Mud Sunfish"
3996,"Acantharchus pomotis","Mud Sunfish"
3997,"Acantharchus pomotis","Mud Sunfish"
3999,"Acantharchus pomotis","Mud Sunfish"
4006,"Acantharchus pomotis","Mud Sunfish"
4009,"Acantharchus pomotis","Mud Sunfish"
4010,"Acantharchus pomotis","Mud Sunfish"
4012,"Acantharchus pomotis","Mud Sunfish"
4496,"Acantharchus pomotis","Mud Sunfish"
4407,"Acantharchus pomotis","Mud Sunfish"
4014,"Acantharchus pomotis","Mud Sunfish"
4015,"Acantharchus pomotis","Mud Sunfish"
4016,"Acantharchus pomotis","Mud Sunfish"
4020,"Acantharchus pomotis","Mud Sunfish"
4021,"Acantharchus pomotis","Mud Sunfish"
5440,"Acantharchus pomotis","Mud Sunfish"
4026,"Acantharchus pomotis","Mud Sunfish"
5129,"Acantharchus pomotis","Mud Sunfish"
4029,"Acantharchus pomotis","Mud Sunfish"
4030,"Acantharchus pomotis","Mud Sunfish"
4031,"Acantharchus pomotis","Mud Sunfish"
4032,"Acantharchus pomotis","Mud Sunfish"
4033,"Acantharchus pomotis","Mud Sunfish"
4035,"Acantharchus pomotis","Mud Sunfish"
4036,"Acantharchus pomotis","Mud Sunfish"
4037,"Acantharchus pomotis","Mud Sunfish"
4038,"Acantharchus pomotis","Mud Sunfish"
6009,"Acantharchus pomotis","Mud Sunfish"
4042,"Acantharchus pomotis","Mud Sunfish"
7278,"Acantharchus pomotis","Mud Sunfish"
